race_id,year,date,race_name,track,grade,surface,distance,url
2005_feb2005,2005,"騎手・調教師データリーディング情報競走馬検索レース成績データ重賞レース一覧成績表（PDF）サマーシリーズＷＡＳＪレーティング&ランキング中央競馬レコードタイム表払戻金ランキング競走馬登録馬名簿・馬名意味競走馬登録・抹消一覧達成間近な記録重賞レース一覧（GI） 2005年年度選択2026年2025年2024年2023年2022年2021年2020年2019年2018年2017年2016年2015年2014年2013年2012年2011年2010年2009年2008年2007年2006年2005年2004年2003年2002年レース名をクリックすると各GI レースごとの過去成績をご覧いただけます。月/日レース名場コース優勝馬騎手結果2/20フェブラリーＳ東京ダ1,600mメイショウボーラー福永　祐一3/27高松宮記念中京芝1,200mアドマイヤマックス武　豊4/10桜花賞阪神芝1,600mラインクラフト福永　祐一4/16中山グランドジャンプ中山障4,250mカラジＢ．スコット4/17皐月賞中山芝2,000mディープインパクト武　豊5/1天皇賞（春）京都芝3,200mスズカマンボ安藤　勝己5/8ＮＨＫマイルＣ東京芝1,600mラインクラフト福永　祐一5/22オークス東京芝2,400mシーザリオ福永　祐一5/29日本ダービー東京芝2,400mディープインパクト武　豊6/5安田記念東京芝1,600mアサクサデンエン藤田　伸二6/26宝塚記念阪神芝2,200mスイープトウショウ池添　謙一10/2スプリンターズＳ中山芝1,200mサイレントウィットネスＦ．コーツィー10/16秋華賞京都芝2,000mエアメサイア武　豊10/23菊花賞京都芝3,000mディープインパクト武　豊10/30天皇賞（秋）東京芝2,000mヘヴンリーロマンス松永　幹夫11/13エリザベス女王杯京都芝2,200mスイープトウショウ池添　謙一11/20マイルチャンピオンシップ京都芝1,600mハットトリックＯ．ペリエ11/26ジャパンＣダート東京ダ2,100mカネヒキリ武　豊11/27ジャパンＣ東京芝2,400mアルカセットＬ．デットーリ12/4阪神ジュベナイルＦ阪神芝1,600mテイエムプリキュア熊沢　重文12/11朝日杯フューチュリティＳ中山芝1,600mフサイチリシャール福永　祐一12/24中山大障害中山障4,100mテイエムドラゴン白浜　雄造12/25有馬記念中山芝2,500mハーツクライＣ．ルメール",,騎手・調教師データリーディング情報競走馬検索レース成績データ重賞レース一覧成績表（PDF）サマーシリーズＷＡＳＪレーティング&ランキング中央競馬レコードタイム表払戻金ランキング競走馬登録馬名簿・馬名意味競走馬登録・抹消一覧達成間近な記録,G1,Dirt,2005,https://www.jra.go.jp/datafile/seiseki/g1/feb/result/feb2005.html
2005_takamatsu2005,2005,3/27,高松宮記念,中京,G1,Turf,1200,https://www.jra.go.jp/datafile/seiseki/g1/takamatsu/result/takamatsu2005.html
2005_ouka2005,2005,4/10,桜花賞,阪神,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/ouka/result/ouka2005.html
2005_ngj2005,2005,4/16,中山グランドジャンプ,中山,G1,Obstacle,4250,https://www.jra.go.jp/datafile/seiseki/g1/ngj/result/ngj2005.html
2005_satsuki2005,2005,4/17,皐月賞,中山,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/satsuki/result/satsuki2005.html
2005_haruten2005,2005,5/1,天皇賞（春）,京都,G1,Turf,3200,https://www.jra.go.jp/datafile/seiseki/g1/haruten/result/haruten2005.html
2005_nmc2005,2005,5/8,ＮＨＫマイルＣ,東京,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/nmc/result/nmc2005.html
2005_oaks2005,2005,5/22,オークス,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/oaks/result/oaks2005.html
2005_derby2005,2005,5/29,日本ダービー,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/derby/result/derby2005.html
2005_yasuda2005,2005,6/5,安田記念,東京,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/yasuda/result/yasuda2005.html
2005_takara2005,2005,6/26,宝塚記念,阪神,G1,Turf,2200,https://www.jra.go.jp/datafile/seiseki/g1/takara/result/takara2005.html
2005_sprint2005,2005,10/2,スプリンターズＳ,中山,G1,Turf,1200,https://www.jra.go.jp/datafile/seiseki/g1/sprint/result/sprint2005.html
2005_shuka2005,2005,10/16,秋華賞,京都,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/shuka/result/shuka2005.html
2005_kikka2005,2005,10/23,菊花賞,京都,G1,Turf,3000,https://www.jra.go.jp/datafile/seiseki/g1/kikka/result/kikka2005.html
2005_akiten2005,2005,10/30,天皇賞（秋）,東京,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/akiten/result/akiten2005.html
2005_eliza2005,2005,11/13,エリザベス女王杯,京都,G1,Turf,2200,https://www.jra.go.jp/datafile/seiseki/g1/eliza/result/eliza2005.html
2005_mile2005,2005,11/20,マイルチャンピオンシップ,京都,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/mile/result/mile2005.html
2005_jcd2005,2005,11/26,ジャパンＣダート,東京,G1,Dirt,2100,https://www.jra.go.jp/datafile/seiseki/g1/jcd/result/jcd2005.html
2005_jc2005,2005,11/27,ジャパンＣ,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/jc/result/jc2005.html
2005_hjf2005,2005,12/4,阪神ジュベナイルＦ,阪神,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/hjf/result/hjf2005.html
2005_afs2005,2005,12/11,朝日杯フューチュリティＳ,中山,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/afs/result/afs2005.html
2005_daishogai2005,2005,12/24,中山大障害,中山,G1,Obstacle,4100,https://www.jra.go.jp/datafile/seiseki/g1/daishogai/result/daishogai2005.html
2005_arima2005,2005,12/25,有馬記念,中山,G1,Turf,2500,https://www.jra.go.jp/datafile/seiseki/g1/arima/result/arima2005.html
